"departement","commune","unit.type","location","latitude","longitude","start.date","sheep.measuring.units","sheep.susceptible","sheep.cases","sheep.deaths","sheep.destroyed","sheep.slaughtered","cattle.measuring.units","cattle.susceptible","cattle.cases","cattle.deaths","cattle.destroyed","cattle.slaughtered","goat.measuring.units","goat.susceptible","goat.cases","goat.deaths","goat.destroyed","goat.slaughtered","remark"
"AUBE","Salon","Farm","Salon","48.633333","4","20/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","LATHUS-SAINT-REMY","Farm","LATHUS-SAINT-REMY","46.383333","0.883333","20/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-MARNE","Prangey","Farm","Prangey","47.733333","5.266667","20/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"CHARENTE","Nieuil","Farm","Nieuil","45.883333","0.5","20/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"EURE","Beuzeville","Farm","Beuzeville","49.333333","0.35","20/01/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"CHARENTE","Oradour-Fanais","Farm","Oradour-Fanais","46.116667","0.783333","20/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SOMME","Nibas","Farm","Nibas","50.1","1.583333","20/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"INDRE-ET-LOIRE","Nouans-les-Fontaines","Farm","Nouans-les-Fontaines","47.133333","1.3","20/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MARNE","MERLAUT","Farm","MERLAUT","48.766667","4.666667","20/01/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"MEURTHE-ET-MOSELLE","Sexey-aux-Forges","Farm","Sexey-aux-Forges","48.616667","6.05","20/01/2012","Animals",250,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"HAUTE-VIENNE","Tersannes","Farm","Tersannes","46.3","1.116667","20/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"HAUTE-VIENNE","Veyrac","Farm","Veyrac","45.9","1.116667","20/01/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"CHARENTE","ANSAC-SUR-VIENNE","Farm","ANSAC-SUR-VIENNE","46","0.65","20/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","MOULISMES","Farm","MOULISMES","46.333333","0.816667","21/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SOMME","Brutelles","Farm","Brutelles","50.133333","1.516667","21/01/2012","Animals",5,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"HAUTE-MARNE","RENNEPONT","Farm","RENNEPONT","48.15","4.85","21/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"INDRE","LUANT","Farm","LUANT","46.733333","1.55","21/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SOMME","Woincourt","Farm","Woincourt","50.066667","1.533333","21/01/2012","Animals",70,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"MOSELLE","Puttelange-lès-Thionville","Farm","Puttelange-lès-Thionville","49.483333","6.266667","21/01/2012","Animals",45,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"SEINE-MARITIME","Touffreville-sur-Eu","Farm","Touffreville-sur-Eu","50","1.316667","21/01/2012","Animals",70,6,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"MEURTHE-ET-MOSELLE","MARAINVILLER","Farm","MARAINVILLER","48.583333","6.6","21/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"VIENNE","COULONGES","Farm","COULONGES","46.42108","1.12298","21/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"SOMME","Mons-Boubert","Farm","Mons-Boubert","50.133333","1.666667","21/01/2012","Animals",400,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"HAUTE-MARNE","Rennepont","Farm","Rennepont","48.15","4.85","23/01/2012","Animals",500,15,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"SOMME","Dompierre-sur-Authie","Farm","Dompierre-sur-Authie","50.3","1.916667","23/01/2012","Animals",84,12,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"SEINE-MARITIME","Martigny","Farm","Martigny","49.866667","1.15","23/01/2012","Animals",1300,7,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"SOMME","Long","Farm","Long","50.033333","1.983333","23/01/2012","Animals",700,25,25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"MOSELLE","REMILLY","Farm","REMILLY","49.016667","6.4","23/01/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"OISE","Cannectancourt","Farm","Cannectancourt","49.55","2.9","23/01/2012","Animals",5,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"SOMME","Longpré-les-Corps-Saints","Farm","Longpré-les-Corps-Saints","50.016667","1.983333","23/01/2012","Animals",800,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"HAUTE-MARNE","Nully","Farm","Nully","48.383333","4.916667","23/01/2012","Animals",1020,6,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"CALVADOS","Moulines","Farm","Moulines","49.016667","-0.35","23/01/2012","Animals",52,20,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"HAUTE-MARNE","Coiffy-le-Haut","Farm","Coiffy-le-Haut","47.9","5.7","24/01/2012","Animals",1360,6,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lambs"
"MOSELLE","Dédeling","Farm","Dédeling","48.85","6.616667","24/01/2012","Animals",250,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population newborn lamb"
